PM,Lat,Lot
37.65287399,60.19922256,24.86620331
33.19942856,60.19922256,24.86801147
37.49365616,60.19922256,24.89149666
32.98402405,60.19922256,24.92040062
30.62109756,60.19922256,24.92220688
35.31043243,60.19922256,24.92582130
54.60949707,60.19922256,24.98001671
57.86570358,60.19922256,25.03240776
44.20658112,60.20012665,24.86439705
53.37979889,60.20012665,24.89330292
60.85430527,60.20012665,24.89691544
44.97479248,60.20012665,24.91498184
35.81036758,60.20012665,24.93665886
32.69226837,60.20012665,24.93846703
57.57541656,60.20102692,24.85897827
46.21775436,60.20102692,24.91859436
31.53339577,60.20102692,24.93665886
38.61524963,60.20102692,25.03602028
30.41698265,60.20193100,24.89691544
32.58192444,60.20193100,24.92762756
112.34170532,60.20283127,24.85175133
43.70526886,60.20283127,24.85897827
40.26054001,60.20283127,24.91317368
73.74182129,60.20283127,25.05227852
34.96043777,60.20373535,24.84994507
33.63629150,60.20373535,24.88968849
31.18775940,60.20373535,24.92220688
32.87835312,60.20373535,24.92401314
32.54702759,60.20463562,24.87162399
35.60408783,60.20463562,24.92040062
32.75955582,60.20463562,24.92220688
55.59429169,60.20463562,24.92401314
34.15154266,60.20463562,24.92943382
36.90543365,60.20463562,24.97459793
51.75851059,60.20553970,24.86078453
51.01699448,60.20553970,24.86259079
32.38195038,60.20553970,24.91136742
36.03227615,60.20553970,24.91498184
30.88768005,60.20553970,24.91859436
34.29545593,60.20553970,24.92220688
32.03263855,60.20643997,24.92040062
117.97091675,60.20643997,25.05408669
34.64528656,60.20734406,24.83549309
30.56411743,60.20734406,24.85355759
61.69113159,60.20824432,24.92762756
44.89651108,60.20914841,24.85717201
37.85581207,60.20914841,24.87162399
41.80728912,60.20914841,24.88426971
37.11887741,60.20914841,24.93124008
33.11275864,60.21004868,24.89149666
37.76611328,60.21004868,24.91317368
33.29426193,60.21094894,24.90414238
40.33993912,60.21094894,24.91136742
34.64995575,60.21094894,25.03782654
51.68153000,60.21185303,24.90414238
34.76457214,60.21185303,24.91317368
35.44150543,60.21185303,24.91498184
38.64367676,60.21275330,24.85897827
35.50290680,60.21275330,24.87162399
30.87368202,60.21275330,24.90594864
50.00448227,60.21275330,24.90956116
33.85133743,60.21365738,24.90594864
113.21277618,60.21365738,24.91678810
50.91394806,60.21365738,24.92220688
32.47436142,60.21455765,24.88788223
45.52472687,60.21455765,24.89149666
41.15948105,60.21455765,24.90956116
39.75160599,60.21455765,25.03782654
34.53012848,60.21455765,25.05950546
41.29018784,60.21546173,24.86259079
37.62717438,60.21546173,24.92220688
67.99001312,60.21636200,24.86259079
41.60618973,60.21636200,24.90233612
31.37619591,60.21636200,24.92401314
38.73508835,60.21726608,24.85536385
33.81962204,60.21726608,24.91678810
112.94337463,60.21726608,24.98543739
57.54492188,60.21816635,24.85175133
