PM,Lat,Lot
1.82812941,60.14600372,24.99085617
3.82776761,60.14600372,25.03060150
1.13866270,60.14600372,25.03240776
6.03468227,60.14600372,25.03421402
4.05545235,60.14600372,25.03602028
6.45040178,60.14600372,25.03782654
6.11546087,60.14600372,25.03963280
1.21037471,60.14600372,25.04144096
4.04987001,60.14600372,25.04324722
15.35324764,60.14690399,24.87704277
26.28454399,60.14690399,24.87884903
3.26074719,60.14690399,24.88065720
15.83608818,60.14690399,24.88246346
17.89497566,60.14690399,24.88968849
5.91060257,60.14690399,24.97459793
1.36196530,60.14690399,24.97640419
1.30117702,60.14690399,24.98543739
10.72874928,60.14690399,24.98724365
6.27728224,60.14690399,24.98904991
8.46967125,60.14690399,24.99085617
9.95204830,60.14690399,24.99627686
20.40338707,60.14690399,25.00169563
3.99554729,60.14690399,25.03060150
3.69244170,60.14690399,25.03240776
4.36964130,60.14690399,25.03421402
5.71117735,60.14690399,25.03602028
2.06284451,60.14690399,25.03963280
21.29684258,60.14780807,24.87704277
31.16912460,60.14780807,24.87884903
9.96625042,60.14780807,24.88065720
10.94237232,60.14780807,24.88246346
3.74735212,60.14780807,24.88426971
22.93829918,60.14780807,24.88968849
12.96638870,60.14780807,24.92040062
8.75635338,60.14780807,24.92220688
6.07135391,60.14780807,24.92401314
16.26764488,60.14780807,24.92582130
17.37299728,60.14780807,24.97279167
1.55126178,60.14780807,24.97459793
0.99729317,60.14780807,24.97640419
8.38516808,60.14780807,24.97821045
5.21253347,60.14780807,24.98001671
4.25502062,60.14780807,24.98363113
4.08940697,60.14780807,24.98543739
6.21939516,60.14780807,24.98724365
2.29090571,60.14780807,24.99085617
9.05156517,60.14780807,24.99988937
7.89695740,60.14780807,25.03963280
3.91668916,60.14780807,25.04324722
2.23354197,60.14780807,25.05408669
2.28793025,60.14780807,25.05589294
1.87651014,60.14870834,24.83368683
23.27038383,60.14870834,24.87704277
7.95660639,60.14870834,24.87884903
15.62170506,60.14870834,24.88246346
9.21574020,60.14870834,24.88426971
22.12322617,60.14870834,24.88788223
4.45440054,60.14870834,24.88968849
6.14438963,60.14870834,24.92040062
3.64913177,60.14870834,24.92220688
26.39800644,60.14870834,24.92401314
6.73202324,60.14870834,24.92582130
5.80843878,60.14870834,24.92762756
4.15813684,60.14870834,24.94388580
4.95926285,60.14870834,24.97098351
1.49227941,60.14870834,24.97279167
1.13236165,60.14870834,24.97459793
0.25828606,60.14870834,24.97640419
6.61047649,60.14870834,24.98001671
13.23184681,60.14870834,24.98182297
2.40189767,60.14870834,24.98363113
2.44222403,60.14870834,24.98543739
1.38173413,60.14870834,24.98724365
2.85797620,60.14870834,24.98904991
9.79762077,60.14870834,24.99085617
21.76564026,60.14870834,25.03782654
3.37437654,60.14870834,25.03963280
7.19239330,60.14870834,25.04144096
11.13189220,60.14870834,25.05589294
0.73559028,60.14961243,24.87704277
16.83949661,60.14961243,24.87884903
14.78683472,60.14961243,24.88246346
0.84573352,60.14961243,24.88426971
12.84342670,60.14961243,24.88607597
18.82489204,60.14961243,24.88788223
21.86067009,60.14961243,24.88968849
6.91905022,60.14961243,24.91317368
4.62930822,60.14961243,24.91498184
6.41709518,60.14961243,24.92220688
17.07278061,60.14961243,24.92582130
16.28678131,60.14961243,24.92762756
5.37862492,60.14961243,24.96556473
4.73256683,60.14961243,24.96737099
2.53069973,60.14961243,24.97821045
10.91301155,60.14961243,24.98001671
5.12955999,60.14961243,24.98182297
7.73877573,60.14961243,24.98363113
6.62033606,60.14961243,24.99808311
4.70106220,60.14961243,25.03602028
4.54651833,60.14961243,25.03963280
9.09811497,60.14961243,25.04144096
4.58242035,60.14961243,25.04505348
7.21637201,60.14961243,25.05408669
10.82403469,60.15051270,24.87523651
14.97967434,60.15051270,24.87884903
9.72562885,60.15051270,24.88065720
18.54394913,60.15051270,24.88426971
14.79962444,60.15051270,24.88607597
35.08208084,60.15051270,24.88788223
10.07880783,60.15051270,24.88968849
16.95897102,60.15051270,24.91498184
4.69398642,60.15051270,24.92401314
8.34565735,60.15051270,24.92762756
39.75172806,60.15051270,24.92943382
5.49375916,60.15051270,24.96556473
4.49493742,60.15051270,24.96737099
5.48717880,60.15051270,24.98001671
6.45412922,60.15051270,24.98363113
8.05799770,60.15051270,24.99808311
9.64330387,60.15051270,25.01434135
3.79479194,60.15051270,25.03963280
9.79088497,60.15051270,25.04144096
3.80622578,60.15051270,25.04505348
2.64803195,60.15051270,25.05047226
4.45747948,60.15051270,25.05408669
2.31729865,60.15051270,25.05769920
19.41781235,60.15141678,24.87523651
32.91983414,60.15141678,24.87704277
2.76932096,60.15141678,24.88065720
25.98670197,60.15141678,24.88246346
30.84009361,60.15141678,24.88607597
7.51204729,60.15141678,24.88968849
17.75848198,60.15141678,24.89149666
16.69304085,60.15141678,24.91498184
16.72121048,60.15141678,24.91678810
6.11730051,60.15141678,24.92401314
3.59905839,60.15141678,24.92582130
28.63166237,60.15141678,24.92943382
24.67243004,60.15141678,24.94749832
6.31838083,60.15141678,24.96556473
5.37258434,60.15141678,24.96737099
7.05444765,60.15141678,24.98363113
9.50379562,60.15141678,25.01072884
13.75296116,60.15141678,25.01434135
7.25791597,60.15141678,25.04324722
10.13094139,60.15141678,25.04505348
4.93483686,60.15141678,25.04685974
8.38851929,60.15141678,25.05047226
2.64725852,60.15141678,25.05408669
2.79953074,60.15141678,25.05769920
2.19873548,60.15231705,24.87704277
13.25262356,60.15231705,24.87884903
9.14791298,60.15231705,24.88246346
24.58039665,60.15231705,24.88426971
9.23810768,60.15231705,24.88607597
39.84084702,60.15231705,24.88788223
26.67063904,60.15231705,24.88968849
7.66806126,60.15231705,24.90956116
8.24711514,60.15231705,24.91136742
26.47925758,60.15231705,24.91317368
20.83850288,60.15231705,24.91498184
17.72042656,60.15231705,24.91678810
15.97278023,60.15231705,24.91859436
21.53005791,60.15231705,24.92401314
4.65838861,60.15231705,24.92582130
27.78251457,60.15231705,24.92943382
13.21551228,60.15231705,24.93124008
1.46813536,60.15231705,24.94749832
17.63769341,60.15231705,24.98363113
8.00015259,60.15231705,24.99808311
4.05752325,60.15231705,25.04505348
7.37636518,60.15231705,25.04685974
7.77620888,60.15231705,25.05047226
2.75390720,60.15231705,25.05227852
4.02691793,60.15231705,25.05408669
11.59699154,60.15231705,25.05589294
15.81397152,60.15322113,24.85717201
19.46091652,60.15322113,24.85897827
2.91455007,60.15322113,24.87523651
27.13866806,60.15322113,24.87704277
16.36236191,60.15322113,24.87884903
0.14103644,60.15322113,24.88065720
22.20613861,60.15322113,24.88246346
16.38249397,60.15322113,24.88426971
5.14667749,60.15322113,24.88607597
11.11283875,60.15322113,24.88788223
25.24611473,60.15322113,24.88968849
17.88715363,60.15322113,24.90594864
6.53076506,60.15322113,24.90775490
12.59310913,60.15322113,24.90956116
11.91395283,60.15322113,24.91136742
8.44939041,60.15322113,24.91317368
4.49482536,60.15322113,24.91498184
5.71650743,60.15322113,24.91678810
5.58057070,60.15322113,24.91859436
4.36473513,60.15322113,24.92582130
8.76982498,60.15322113,24.92762756
10.00993538,60.15322113,24.92943382
21.96266937,60.15322113,24.93124008
35.15419769,60.15322113,24.94749832
25.10072708,60.15322113,24.95111275
14.31755257,60.15322113,24.95291901
10.63811302,60.15322113,24.98363113
10.77217770,60.15322113,24.99808311
6.20926952,60.15322113,25.01253510
6.54693222,60.15322113,25.01614761
4.39052248,60.15322113,25.04685974
6.24493694,60.15322113,25.05047226
7.61398697,60.15322113,25.05227852
144.43426514,60.15412140,24.83368683
17.07051468,60.15412140,24.85175133
18.72613907,60.15412140,24.85897827
20.51637459,60.15412140,24.86078453
31.03957939,60.15412140,24.86259079
4.60159779,60.15412140,24.86439705
40.59433746,60.15412140,24.86801147
4.43947172,60.15412140,24.87523651
40.52948380,60.15412140,24.87704277
8.15585613,60.15412140,24.87884903
22.34638405,60.15412140,24.88065720
12.82593250,60.15412140,24.88426971
20.17719269,60.15412140,24.88607597
31.77637863,60.15412140,24.88788223
1.20223939,60.15412140,24.88968849
10.88598633,60.15412140,24.90414238
42.61146545,60.15412140,24.90594864
11.52428627,60.15412140,24.90775490
6.83996582,60.15412140,24.90956116
2.60734200,60.15412140,24.91136742
6.40622854,60.15412140,24.91498184
5.50686216,60.15412140,24.91678810
16.78849792,60.15412140,24.91859436
14.73006725,60.15412140,24.92040062
5.09246540,60.15412140,24.92762756
19.45077324,60.15412140,24.92943382
15.09535789,60.15412140,24.93124008
26.71203613,60.15412140,24.93304634
22.49320030,60.15412140,24.93846703
16.38236809,60.15412140,24.94027328
30.15494347,60.15412140,24.94207954
13.23504925,60.15412140,24.94388580
7.69514132,60.15412140,24.94749832
15.72876072,60.15412140,24.95472527
33.23762894,60.15412140,24.95653152
1.13234246,60.15412140,24.96917725
11.21585083,60.15412140,24.98363113
10.95099068,60.15412140,24.98904991
3.42678595,60.15412140,24.99085617
37.67290115,60.15412140,24.99627686
8.65826035,60.15412140,24.99808311
9.84617519,60.15412140,25.01072884
15.68000603,60.15412140,25.01614761
6.54503679,60.15412140,25.04685974
4.18554163,60.15412140,25.04866600
9.10786533,60.15412140,25.05047226
2.84899974,60.15412140,25.05227852
62.30679703,60.15502548,24.85717201
35.14565277,60.15502548,24.85897827
42.23992538,60.15502548,24.86078453
32.94463348,60.15502548,24.86259079
16.28776550,60.15502548,24.86439705
32.65737915,60.15502548,24.86801147
26.30754280,60.15502548,24.86981773
2.40267444,60.15502548,24.87162399
9.12933064,60.15502548,24.87523651
10.03878880,60.15502548,24.87704277
10.93072224,60.15502548,24.87884903
54.36984634,60.15502548,24.88065720
2.39006042,60.15502548,24.88246346
34.76807404,60.15502548,24.88426971
32.65577316,60.15502548,24.88607597
10.27280235,60.15502548,24.90414238
4.82237530,60.15502548,24.90775490
