PM,Lat,Lot
83.01813507,60.24703217,25.03602028
31.57604027,60.24793625,24.84271812
38.48234177,60.24793625,24.91317368
38.49454117,60.24793625,25.00711632
32.09951401,60.25154495,24.89330292
31.52340126,60.25244522,24.90594864
35.39207840,60.25244522,25.01976204
40.77371216,60.25244522,25.03421402
31.32093430,60.25334549,24.87523651
36.75184250,60.25424957,24.84271812
35.06352997,60.25424957,24.86078453
31.84457779,60.25424957,25.00892258
32.37714005,60.25605392,24.89330292
30.06807518,60.25605392,25.02879333
42.85169220,60.25695419,24.97821045
39.93840027,60.25875854,24.83549309
43.24787140,60.25875854,24.90233612
30.45383835,60.25966263,24.87884903
42.99582672,60.26056290,24.89330292
34.68566895,60.26056290,24.96014595
30.16263008,60.26056290,25.01795578
33.52317429,60.26236725,24.84994507
58.26330185,60.26236725,24.96917725
30.45619392,60.26236725,24.98001671
39.22240448,60.26327133,24.86801147
38.93187714,60.26327133,25.03240776
44.75373459,60.26417160,24.88788223
53.81544113,60.26687622,24.83368683
84.81048584,60.26687622,24.89691544
31.86872101,60.26778030,24.85355759
54.62136459,60.27138901,24.96917725
33.97611618,60.27319336,25.03421402
34.47916031,60.27409363,25.05227852
